date,P0001,P0002,P0003,P0004,P0005,P0006,P0007,P0008,P0009,P0010,P0011,P0012,P0013,P0014,P0015,P0016,P0017,P0018,P0019,P0020
2022-10-22,475,525,469,492,509,579,352,462,489,546,335,626,493,382,464,539,443,481,390,375
2022-10-23,478,615,485,635,619,409,876,480,472,563,390,371,642,290,413,407,441,382,465,461
2022-10-24,410,449,409,406,614,658,379,472,365,490,522,406,739,538,428,432,499,418,462,394
2022-10-25,512,385,465,474,453,330,366,386,334,305,335,408,419,319,471,508,380,375,326,388
2022-10-26,427,462,397,419,346,391,287,330,423,420,320,336,514,306,385,402,410,389,325,276
2022-10-27,513,430,456,782,570,482,376,339,685,460,499,287,354,440,451,538,339,435,336,571
2022-10-28,724,477,523,423,599,335,584,522,589,434,538,533,431,520,463,357,496,402,358,540
2022-10-29,246,418,397,538,409,435,445,395,402,392,401,343,625,273,410,649,377,494,372,323
2022-10-30,405,368,438,464,406,488,524,436,413,401,399,298,380,455,463,661,378,348,358,320
2022-10-31,456,392,484,626,549,309,400,540,334,359,361,393,562,340,367,414,452,423,339,248
2022-11-01,330,523,596,533,569,401,527,276,724,439,438,433,681,576,499,454,339,329,405,514
2022-11-02,443,414,514,732,457,355,492,414,489,475,515,405,537,458,468,745,287,403,350,527
2022-11-03,423,330,348,380,472,376,428,375,422,461,429,564,355,298,276,413,372,427,479,403
2022-11-04,420,480,439,620,404,424,608,509,532,478,505,426,589,530,381,702,358,424,365,402
2022-11-05,559,472,603,693,566,499,498,406,504,380,400,500,443,597,438,666,393,385,450,575
2022-11-06,578,542,336,485,361,307,460,479,552,527,448,469,318,241,552,650,415,456,362,433
2022-11-07,584,409,463,597,496,489,473,558,456,493,406,293,690,487,402,604,394,301,380,547
2022-11-08,400,401,424,427,463,849,618,396,499,436,513,382,346,532,395,451,460,334,507,404
2022-11-09,460,607,414,569,392,413,390,396,334,554,564,493,366,603,367,469,419,395,602,525
2022-11-10,562,423,297,720,438,491,451,433,615,557,456,358,523,345,495,596,557,358,308,432
2022-11-11,548,611,419,418,409,416,600,310,372,499,616,359,367,414,336,387,366,489,225,348
2022-11-12,720,377,544,545,648,674,582,475,689,607,500,425,531,419,498,477,465,447,384,441
2022-11-13,478,655,321,487,519,485,492,485,461,438,478,416,450,568,424,345,573,440,401,415
2022-11-14,369,396,429,639,394,473,390,515,479,543,352,413,404,548,408,361,483,406,334,263
2022-11-15,464,478,638,527,553,537,569,459,371,503,252,451,526,531,456,580,591,385,493,310
2022-11-16,494,406,403,414,394,604,875,370,452,367,511,511,460,576,470,772,328,568,250,383
2022-11-17,493,654,416,390,695,466,470,377,544,478,331,304,525,861,460,258,355,630,339,484
2022-11-18,454,639,382,563,561,399,407,377,601,598,434,435,767,686,353,389,386,448,389,336
2022-11-19,587,512,323,301,577,382,554,414,483,576,354,575,708,650,481,743,466,487,390,339
2022-11-20,364,523,588,364,372,522,581,337,562,455,377,351,468,450,355,289,350,442,380,294
2022-11-21,425,520,416,406,453,654,608,430,563,401,498,292,717,689,263,546,461,352,409,268
2022-11-22,258,283,457,331,539,245,582,342,536,447,448,297,405,672,749,462,276,323,371,506
2022-11-23,599,433,293,284,560,514,586,472,399,387,406,364,665,356,445,459,349,515,424,290
2022-11-24,470,453,419,376,587,623,637,439,384,391,476,523,690,486,513,438,526,607,557,623
2022-11-25,479,382,485,433,501,469,446,395,547,492,525,455,476,347,393,472,378,375,414,249
2022-11-26,615,443,601,330,409,389,1000,522,609,499,571,477,624,569,493,368,375,243,382,370
2022-11-27,288,400,427,434,408,397,415,485,616,376,308,425,642,419,690,353,356,490,272,250
2022-11-28,442,451,486,476,399,342,501,425,413,550,462,452,429,335,435,357,408,479,335,438
2022-11-29,401,316,550,533,373,512,459,378,420,551,359,455,442,235,491,517,358,287,326,354
2022-11-30,507,477,515,419,527,456,626,423,547,502,384,377,373,315,484,451,342,493,448,393
2022-12-01,352,473,481,484,397,349,375,362,478,299,563,395,416,179,342,285,362,316,457,307
2022-12-02,534,526,374,350,351,489,604,437,477,423,405,478,595,255,448,471,621,512,474,463
2022-12-03,427,673,582,624,472,480,476,517,367,721,526,337,640,323,456,338,252,418,391,559
2022-12-04,435,622,626,388,473,510,624,466,554,472,383,366,409,253,508,427,376,551,462,464
2022-12-05,759,557,558,486,644,452,613,428,545,447,635,350,582,559,471,466,400,407,604,478
2022-12-06,565,599,562,483,576,322,664,598,593,577,640,433,460,308,436,456,405,331,518,361
2022-12-07,387,607,384,564,490,462,670,569,599,567,467,360,577,411,472,587,446,434,333,299
2022-12-08,600,466,437,311,553,534,476,552,574,365,650,409,459,316,409,442,513,442,420,664
2022-12-09,660,458,567,542,577,448,675,590,413,432,524,519,621,498,521,707,414,557,462,377
2022-12-10,500,493,357,514,530,507,355,469,393,451,390,312,531,474,370,347,528,410,428,393
2022-12-11,603,502,500,369,549,390,539,339,444,474,424,297,475,373,595,439,448,479,309,378
2022-12-12,611,406,623,669,515,410,467,455,630,374,555,315,535,419,477,426,341,458,453,391
2022-12-13,449,366,571,335,616,479,506,419,323,659,524,422,657,474,399,377,403,663,455,440
2022-12-14,467,426,472,521,654,626,634,476,441,668,659,476,419,459,488,350,294,632,444,540
2022-12-15,487,644,497,399,485,630,511,604,417,294,373,485,475,471,429,356,364,415,536,550
2022-12-16,426,358,349,394,507,412,496,485,630,458,639,589,561,611,391,434,352,382,428,395
2022-12-17,479,712,620,716,476,493,781,492,384,483,432,288,565,303,421,515,385,411,405,540
2022-12-18,583,430,571,544,752,471,924,731,533,453,424,436,586,424,472,605,438,355,477,405
2022-12-19,452,484,465,577,506,468,518,508,650,447,539,420,659,337,503,409,387,426,460,598
2022-12-20,623,449,356,445,460,522,694,330,413,458,416,498,533,358,304,386,438,418,445,316
2022-12-21,622,381,415,655,725,483,716,469,356,481,555,358,416,411,701,474,399,391,514,526
2022-12-22,448,470,349,752,557,461,591,393,548,485,574,510,291,323,465,616,481,304,392,469
2022-12-23,496,484,380,395,368,409,625,389,610,732,340,410,556,215,299,477,515,452,431,349
2022-12-24,557,482,622,502,365,385,638,326,834,470,408,524,643,499,599,484,652,364,388,416
2022-12-25,409,463,507,589,595,465,547,447,497,473,530,474,585,517,464,554,246,326,417,598
2022-12-26,632,350,403,752,410,363,454,540,395,433,327,366,591,515,876,484,483,480,522,580
2022-12-27,466,423,521,583,481,465,423,314,569,496,463,441,348,341,372,498,674,444,368,614
2022-12-28,593,601,493,652,607,518,706,573,473,892,540,625,776,442,653,401,513,360,532,466
2022-12-29,599,391,433,417,462,474,412,365,464,317,488,363,544,432,340,423,412,470,481,450
2022-12-30,603,405,504,634,473,403,554,409,520,348,537,410,294,469,562,436,504,396,423,308
2022-12-31,440,491,506,475,587,481,489,298,554,409,465,259,503,372,603,536,419,511,331,244
2023-01-01,502,438,438,471,699,720,604,370,502,483,429,361,475,523,451,543,351,508,389,411
2023-01-02,762,572,494,631,714,505,450,494,652,508,682,477,539,379,518,555,435,442,485,371
2023-01-03,450,472,517,787,331,753,567,473,505,445,364,405,654,338,491,528,577,573,506,334
2023-01-04,539,355,517,491,249,502,615,570,506,399,504,473,411,517,442,324,624,575,388,330
2023-01-05,282,337,528,453,686,679,462,517,604,562,271,282,538,490,317,389,472,370,448,276
2023-01-06,458,495,416,462,529,470,545,589,480,648,478,414,498,373,312,562,404,390,431,370
2023-01-07,547,537,491,727,628,399,448,168,478,368,472,573,603,504,502,477,534,386,377,321
2023-01-08,522,654,574,523,505,410,502,595,552,519,488,482,615,400,639,441,326,467,413,265
2023-01-09,315,365,455,537,505,488,582,413,331,350,400,453,522,511,366,602,401,560,469,457
2023-01-10,581,524,593,419,548,557,496,598,535,511,415,587,540,399,637,458,366,495,457,515
2023-01-11,699,521,517,414,641,657,668,527,533,431,355,485,409,469,492,376,593,511,353,371
2023-01-12,502,405,376,570,429,309,695,503,447,445,616,361,570,548,364,393,425,472,505,300
2023-01-13,551,506,590,392,524,384,482,489,811,537,425,460,709,655,501,418,421,382,554,322
2023-01-14,359,604,499,478,828,410,548,475,382,457,390,369,481,425,647,461,425,507,471,367
2023-01-15,422,471,752,468,510,316,472,373,403,409,597,308,535,395,518,469,468,488,421,514
2023-01-16,576,423,495,451,618,435,511,407,558,486,596,477,500,365,452,529,391,454,396,524
2023-01-17,595,538,465,462,571,437,569,433,432,483,594,516,556,403,457,541,421,451,531,301
2023-01-18,414,397,551,378,702,535,315,439,554,431,592,502,701,631,629,667,316,618,556,375
2023-01-19,463,495,603,499,849,639,371,504,610,557,505,326,524,451,478,562,315,442,468,456
2023-01-20,420,751,436,734,540,454,685,557,744,664,446,457,346,613,574,555,458,409,425,462
2023-01-21,449,399,373,377,584,827,487,360,652,397,382,502,467,407,358,580,438,367,597,393
2023-01-22,592,503,744,507,504,592,551,475,619,356,735,419,485,459,545,751,301,388,398,337
2023-01-23,568,567,526,630,605,557,559,423,767,734,299,241,386,381,542,399,480,318,651,489
2023-01-24,462,466,475,515,623,411,314,408,544,431,565,555,345,632,413,516,431,538,411,296
2023-01-25,577,633,667,467,422,492,579,449,567,532,380,466,403,433,311,600,393,409,484,391
2023-01-26,594,470,585,489,602,473,556,361,623,483,457,459,432,240,493,465,485,295,331,452
2023-01-27,304,365,496,395,438,474,705,302,344,479,647,396,200,448,432,398,373,353,535,389
2023-01-28,527,519,590,421,458,332,540,445,453,721,346,417,432,330,398,500,459,520,471,291
2023-01-29,263,318,346,197,324,276,284,293,329,301,211,259,285,217,414,232,218,329,401,139
2023-01-30,344,366,280,268,213,391,363,286,369,266,272,197,318,276,324,304,208,308,381,247
2023-01-31,240,231,211,368,322,343,374,285,405,307,268,184,355,253,265,144,213,297,277,241
2023-02-01,396,290,229,276,236,359,374,252,531,215,376,311,234,289,348,236,131,457,363,207
2023-02-02,220,317,318,399,292,376,300,343,409,236,179,304,419,235,209,270,248,389,424,310
2023-02-03,276,369,310,294,247,459,256,366,403,375,331,185,501,220,378,235,216,400,270,182
2023-02-04,223,218,474,316,229,360,454,327,581,362,354,244,221,348,427,409,180,467,343,292
2023-02-05,193,432,295,343,342,364,404,396,480,309,386,210,294,212,255,239,243,244,379,353
2023-02-06,358,355,202,256,384,422,367,328,441,303,238,268,291,217,231,280,354,264,232,301
2023-02-07,370,255,235,380,324,242,262,238,366,305,313,229,264,278,324,367,227,232,339,200
2023-02-08,284,225,192,255,286,354,309,275,470,380,238,279,186,296,292,202,192,238,364,258
2023-02-09,289,405,358,405,454,294,353,247,432,379,421,236,312,184,349,418,299,261,408,232
2023-02-10,250,332,389,322,383,424,303,386,360,373,349,182,511,311,254,222,185,289,375,293
2023-02-11,321,279,268,357,350,246,235,285,484,184,341,209,242,195,273,336,277,238,251,287
2023-02-12,277,382,334,223,268,246,363,340,265,337,227,246,373,294,354,346,286,262,366,332
2023-02-13,239,365,447,296,355,408,392,241,417,259,407,238,298,247,308,364,154,247,362,149
2023-02-14,335,456,283,274,309,302,369,282,436,286,243,166,388,340,477,330,279,195,544,163
2023-02-15,252,466,329,387,333,303,228,269,491,352,306,220,321,335,307,362,301,266,425,269
2023-02-16,453,297,233,294,449,387,340,365,388,314,237,173,257,342,254,244,118,242,302,173
2023-02-17,261,363,385,349,201,292,363,379,437,309,214,253,272,209,464,258,202,405,255,287
2023-02-18,315,278,235,331,251,342,306,223,529,360,338,275,304,274,289,324,227,535,259,288
2023-02-19,332,373,251,340,277,312,372,389,369,397,367,218,430,310,298,312,252,428,329,368
2023-02-20,334,302,296,332,323,398,365,278,585,348,163,246,333,171,190,280,230,333,243,241
2023-02-21,284,304,234,231,249,370,248,258,364,317,320,222,199,286,311,250,264,312,368,159
2023-02-22,373,361,268,236,269,314,334,474,411,229,409,263,315,172,324,278,186,318,336,285
2023-02-23,368,484,168,467,258,268,442,278,454,249,329,185,357,140,229,207,208,252,494,209
2023-02-24,416,423,297,346,292,282,309,338,428,303,267,180,295,491,466,286,272,456,401,127
2023-02-25,314,227,318,263,430,223,257,394,373,499,307,194,212,355,235,229,183,338,262,161
2023-02-26,355,386,312,381,320,232,253,316,425,281,499,245,251,202,321,216,147,348,317,201
2023-02-27,213,368,447,228,391,238,385,382,442,334,344,326,447,372,246,367,225,297,405,211
2023-02-28,243,340,312,551,272,270,357,295,351,205,225,321,305,331,245,297,115,357,345,237
2023-03-01,607,634,396,486,565,469,682,371,413,317,408,315,396,587,524,577,264,332,426,357
2023-03-02,519,264,420,445,366,564,540,547,666,743,390,395,444,400,473,383,319,441,389,393
2023-03-03,500,411,495,427,542,409,415,475,419,364,629,474,712,601,744,290,411,565,432,285
2023-03-04,399,586,668,568,400,515,421,531,510,506,339,414,478,408,240,589,373,308,420,413
2023-03-05,596,328,411,479,584,502,431,451,517,413,347,477,565,538,574,545,282,263,570,452
2023-03-06,498,304,439,557,414,482,617,417,403,586,501,539,445,354,359,478,321,397,322,419
2023-03-07,437,637,476,467,531,636,508,442,557,410,551,367,657,553,547,481,268,534,451,272
2023-03-08,382,628,534,398,659,375,433,331,399,605,510,554,487,311,445,463,526,312,475,416
2023-03-09,579,654,641,643,451,473,472,552,483,501,394,545,557,464,458,745,377,469,504,374
2023-03-10,350,648,846,558,723,339,665,375,481,358,452,376,429,506,497,454,410,371,312,387
2023-03-11,531,375,429,472,586,508,442,395,414,603,372,405,835,341,446,318,467,295,291,379
2023-03-12,464,804,461,563,477,661,840,333,513,431,636,388,601,302,563,725,562,259,455,498
2023-03-13,639,562,404,649,615,439,405,500,507,415,425,574,516,397,429,377,538,475,394,252
2023-03-14,421,462,407,557,483,583,405,419,517,464,401,388,832,524,547,420,621,446,359,490
2023-03-15,686,786,575,568,649,400,858,379,664,569,451,442,706,494,398,479,614,385,477,456
2023-03-16,460,833,543,439,545,463,592,482,427,422,759,647,753,515,620,404,544,502,346,525
2023-03-17,340,483,610,635,474,531,609,315,463,493,553,416,764,284,580,392,350,437,302,564
2023-03-18,403,347,553,517,410,565,605,512,592,390,417,337,574,461,446,287,391,497,317,570
2023-03-19,509,558,386,475,509,428,726,389,664,515,549,460,633,462,539,454,378,280,590,317
2023-03-20,600,474,438,346,249,581,364,466,498,561,524,343,720,316,486,307,503,504,468,360
2023-03-21,450,465,507,425,536,425,716,395,568,456,370,451,508,351,416,548,516,349,370,271
2023-03-22,483,652,345,541,480,475,422,518,387,558,474,336,691,584,523,750,624,534,574,437
2023-03-23,445,339,424,726,563,501,475,473,532,644,458,343,493,393,465,519,428,483,409,584
2023-03-24,661,592,543,457,475,453,855,400,512,517,565,444,769,471,606,466,334,630,357,325
2023-03-25,520,488,513,504,486,712,509,395,657,607,592,357,599,459,477,423,523,500,472,441
2023-03-26,588,502,456,547,389,430,359,464,440,550,501,396,175,483,511,341,451,312,324,364
2023-03-27,472,443,504,483,435,598,532,401,395,408,350,326,414,610,418,498,505,380,580,501
2023-03-28,464,476,460,416,480,596,652,385,480,467,452,325,595,331,623,407,321,422,553,375
2023-03-29,387,665,434,611,456,461,434,427,645,496,546,329,489,357,368,405,452,334,478,453
2023-03-30,442,532,498,269,400,573,479,404,387,494,458,446,489,426,429,471,392,347,316,373
2023-03-31,374,582,498,397,492,474,699,392,455,452,540,458,462,483,410,547,502,343,488,373
2023-04-01,492,555,371,358,599,473,546,581,552,433,334,351,510,465,644,330,411,339,382,603
2023-04-02,523,700,481,503,534,525,618,498,358,606,475,534,503,367,412,403,391,468,366,347
2023-04-03,504,521,408,701,373,681,495,515,495,453,304,414,394,392,309,372,412,363,435,377
2023-04-04,465,398,418,326,270,385,466,417,686,415,581,326,476,634,220,447,490,417,361,433
2023-04-05,333,401,378,532,657,315,555,457,512,532,366,577,606,403,294,383,571,464,503,404
2023-04-06,396,391,546,528,517,572,639,392,545,620,384,498,527,371,413,446,409,312,371,366
2023-04-07,470,447,584,465,409,475,618,403,643,797,310,325,609,406,427,464,489,329,567,340
2023-04-08,499,648,471,441,416,453,497,655,540,596,395,443,440,463,289,557,716,213,399,427
2023-04-09,585,415,512,552,412,477,506,492,482,426,595,354,683,437,436,386,403,330,514,422
2023-04-10,441,648,434,551,435,645,705,637,529,445,655,407,436,430,341,825,383,318,406,580
2023-04-11,470,572,590,453,394,452,812,452,341,469,489,462,404,481,315,420,317,453,558,337
2023-04-12,323,399,224,367,282,244,208,374,216,268,302,303,176,345,211,173,218,453,271,150
2023-04-13,273,342,306,397,376,291,333,457,357,329,301,333,346,218,272,280,386,257,214,151
2023-04-14,297,261,214,250,270,253,327,434,260,249,226,304,282,214,378,212,225,316,312,182
2023-04-15,448,294,386,312,334,418,271,278,364,252,242,224,314,266,260,229,244,329,444,250
2023-04-16,274,437,246,486,310,340,309,269,516,350,268,174,270,246,275,348,239,452,269,243
2023-04-17,321,337,417,327,287,260,292,314,531,316,263,283,270,215,305,408,200,351,325,131
2023-04-18,206,388,289,429,270,166,332,286,375,248,344,281,270,271,288,188,175,264,198,198
2023-04-19,290,198,266,312,378,292,358,392,381,332,226,163,392,175,282,253,167,348,381,174
2023-04-20,262,325,202,403,453,364,370,425,342,480,240,185,353,331,237,329,187,348,303,221
2023-04-21,408,320,237,410,265,336,321,420,451,245,391,216,238,263,224,348,232,368,244,206
2023-04-22,230,290,212,345,131,308,254,348,298,332,362,225,336,300,276,316,147,326,216,275
2023-04-23,384,301,367,283,637,238,419,337,385,373,264,278,458,332,361,329,229,371,429,156
2023-04-24,276,283,353,302,512,366,384,348,371,289,230,170,439,224,280,310,274,299,376,154
2023-04-25,410,336,218,324,575,308,291,275,377,269,239,165,288,235,248,406,329,311,427,196
2023-04-26,369,350,229,398,296,403,350,274,378,372,311,302,341,235,178,220,196,302,373,258
2023-04-27,367,294,348,235,316,184,250,293,298,375,200,264,357,197,211,252,218,359,158,223
2023-04-28,426,254,283,281,425,191,385,283,404,312,322,294,293,187,181,216,149,299,297,286
2023-04-29,443,330,276,312,394,312,266,315,381,312,278,197,191,297,322,247,237,231,327,249
2023-04-30,345,356,221,314,349,242,271,305,362,188,262,262,320,236,270,151,236,314,300,142
2023-05-01,286,297,317,398,257,242,549,324,306,260,378,198,322,218,368,248,131,254,321,258
2023-05-02,285,407,213,468,422,419,532,245,328,434,318,176,314,329,383,179,175,293,437,346
2023-05-03,367,264,226,364,231,235,233,256,391,292,164,261,252,247,385,210,101,293,305,259
2023-05-04,267,416,267,308,376,287,448,394,400,263,423,244,281,224,257,369,230,287,337,307
2023-05-05,403,516,364,354,201,493,256,278,488,182,210,206,325,194,222,141,169,291,322,244
2023-05-06,542,455,289,308,365,288,340,272,372,326,197,175,434,202,223,267,372,322,353,227
2023-05-07,408,419,318,315,420,308,218,257,384,388,427,207,388,244,348,372,200,425,202,168
2023-05-08,275,417,209,317,507,237,439,388,488,302,266,204,310,285,315,377,240,277,367,257
2023-05-09,287,377,177,300,216,192,262,243,466,285,291,187,396,252,298,395,193,205,399,164
2023-05-10,579,274,316,269,380,305,296,298,363,275,263,246,207,269,301,189,200,365,367,203
2023-05-11,422,533,307,386,328,271,322,242,311,185,372,260,379,195,427,219,230,368,347,152
2023-05-12,381,335,214,276,255,449,443,303,417,202,257,231,295,238,357,271,227,408,235,261
2023-05-13,455,500,409,553,461,455,440,405,515,419,353,321,618,431,457,508,379,428,427,356
2023-05-14,521,600,365,650,528,335,611,536,358,484,546,316,481,331,516,360,297,385,276,451
2023-05-15,496,539,483,533,492,373,454,484,479,507,478,603,343,480,257,437,332,475,509,451
2023-05-16,535,535,538,483,445,563,521,379,457,559,441,560,586,609,552,340,611,455,396,392
2023-05-17,554,557,530,489,488,347,446,643,451,526,557,455,691,409,532,425,669,443,585,388
2023-05-18,310,393,428,696,630,648,657,436,624,726,489,571,498,521,379,500,331,454,438,441
2023-05-19,595,580,524,527,711,412,418,447,514,594,280,611,526,542,400,633,463,407,382,499
2023-05-20,550,392,388,367,309,476,546,383,449,468,657,280,441,602,281,541,446,397,323,347
2023-05-21,602,465,557,460,618,555,700,488,492,399,352,521,724,530,583,647,488,362,386,388
2023-05-22,533,658,437,625,425,519,593,447,501,592,513,460,597,298,318,363,450,410,318,374
2023-05-23,572,474,514,392,680,469,508,472,588,378,349,531,432,445,423,328,431,359,388,281
2023-05-24,425,485,597,537,542,400,534,328,718,539,527,500,389,612,531,533,341,329,377,355
2023-05-25,468,440,716,331,320,462,545,384,528,405,467,290,613,403,436,652,597,559,481,440
2023-05-26,544,703,507,385,552,568,437,356,434,687,488,666,649,448,400,418,431,676,394,424
2023-05-27,564,356,383,492,502,577,494,456,456,386,400,415,518,467,476,464,506,417,416,445
2023-05-28,511,510,424,587,611,489,552,341,582,391,507,503,435,445,641,464,393,344,377,327
2023-05-29,395,402,454,500,539,403,513,592,681,430,392,311,442,489,525,557,481,392,321,334
2023-05-30,379,555,502,403,405,302,586,497,411,391,323,302,687,307,453,465,485,339,403,420
2023-05-31,491,433,437,382,503,553,532,434,477,595,377,379,429,402,464,344,419,370,387,335
2023-06-01,611,608,400,518,502,327,406,316,459,514,524,380,575,484,397,378,372,437,366,311
2023-06-02,353,604,425,605,559,594,394,469,338,384,387,573,583,505,508,368,446,418,444,375
2023-06-03,513,520,466,343,527,497,686,459,497,574,540,384,715,570,406,451,390,453,471,484
2023-06-04,755,592,427,653,619,614,847,470,620,433,367,322,721,526,463,390,429,475,419,344
2023-06-05,685,315,467,614,632,416,690,440,640,723,434,484,468,525,502,413,426,654,442,337
2023-06-06,728,628,497,609,539,561,502,541,869,315,462,419,656,663,365,481,307,474,402,356
2023-06-07,633,440,470,885,473,674,372,761,394,568,840,478,828,401,475,731,383,486,365,502
2023-06-08,609,505,544,602,435,440,489,423,522,467,424,369,491,455,568,409,565,317,344,381
2023-06-09,484,426,517,615,538,690,696,386,552,487,490,739,703,306,396,372,336,304,443,515
2023-06-10,435,471,382,531,493,280,681,394,552,482,323,583,650,565,643,414,459,382,611,319
2023-06-11,606,327,724,655,696,617,732,366,737,672,600,488,712,627,652,559,347,504,505,553
2023-06-12,434,438,436,580,804,545,779,394,549,468,285,599,553,445,499,543,365,453,263,404
2023-06-13,750,501,432,564,372,494,532,441,751,486,343,436,514,557,652,499,617,324,362,331
2023-06-14,560,638,360,572,558,533,474,631,618,579,308,475,638,483,623,479,267,520,320,450
2023-06-15,511,577,358,727,388,431,728,361,630,533,233,627,569,523,543,405,460,292,472,379
2023-06-16,581,538,645,498,735,592,587,446,502,571,348,485,637,489,790,650,504,552,560,322
2023-06-17,524,446,564,708,384,670,657,419,545,495,320,348,537,521,591,430,401,415,235,323
2023-06-18,749,454,537,493,604,453,544,413,496,491,246,561,652,571,414,459,286,493,335,277
2023-06-19,574,516,399,570,596,386,707,495,762,817,496,324,600,431,552,972,466,402,481,351
2023-06-20,751,731,587,585,638,807,924,597,452,680,384,420,659,668,493,505,415,360,465,347
2023-06-21,435,516,444,525,466,454,517,378,446,589,579,541,534,688,454,599,488,429,404,281
2023-06-22,756,603,619,746,524,489,478,527,423,486,297,387,408,633,561,504,387,382,410,285
2023-06-23,540,597,481,590,499,619,529,602,382,539,412,462,818,540,493,277,400,573,573,554
2023-06-24,541,447,515,655,596,467,520,692,307,628,448,385,364,379,452,340,322,565,427,385
2023-06-25,613,390,728,601,669,401,737,428,463,711,582,428,576,733,334,622,316,256,522,324
2023-06-26,424,700,505,750,515,507,709,416,433,615,528,417,808,519,634,372,342,399,409,334
2023-06-27,516,501,497,553,527,378,520,642,502,635,408,340,471,397,535,595,423,343,601,359
2023-06-28,540,635,456,764,458,611,305,747,530,498,536,664,414,452,459,314,473,479,393,513
2023-06-29,653,392,421,738,683,545,369,618,548,485,454,454,592,406,569,694,541,531,344,385
2023-06-30,415,513,514,500,616,344,523,604,401,439,476,303,427,427,376,387,420,457,489,359
2023-07-01,376,558,483,633,393,428,391,522,632,386,328,376,665,326,387,484,406,320,549,324
2023-07-02,769,365,332,556,670,530,471,599,551,636,585,473,601,508,632,620,509,586,516,447
2023-07-03,677,564,467,485,571,432,499,814,665,956,607,424,614,434,566,364,424,335,678,436
2023-07-04,758,700,465,420,540,553,691,620,465,740,594,482,489,492,956,332,395,442,372,386
2023-07-05,468,513,489,599,331,649,551,597,661,503,429,486,642,443,598,220,509,431,341,370
2023-07-06,432,458,434,885,649,330,724,332,882,542,447,334,440,448,563,219,228,326,417,432
2023-07-07,533,498,431,501,658,698,608,487,476,718,373,413,666,606,361,242,402,355,391,288
2023-07-08,750,622,774,702,573,580,805,683,595,857,609,499,476,343,616,479,526,515,339,515
2023-07-09,552,610,446,523,512,429,643,431,516,352,608,306,812,544,450,409,789,370,429,386
2023-07-10,564,657,395,587,494,344,517,467,662,460,448,505,561,372,659,361,765,328,354,472
2023-07-11,303,420,591,666,571,529,421,444,528,620,453,535,662,418,481,330,352,370,585,403
2023-07-12,557,602,423,494,627,583,532,546,741,520,546,439,609,413,494,391,558,436,569,305
2023-07-13,710,435,443,615,512,652,548,379,444,632,539,393,654,600,457,240,575,442,497,424
2023-07-14,523,541,548,806,731,434,621,418,518,345,376,455,592,421,490,429,367,442,693,351
2023-07-15,364,555,594,408,368,336,465,458,336,807,406,484,664,548,399,504,390,442,533,285
2023-07-16,393,425,322,900,512,437,594,446,464,595,426,453,487,499,560,486,470,439,503,339
2023-07-17,361,582,580,618,599,659,522,511,745,872,515,644,679,427,430,358,536,447,743,265
2023-07-18,468,505,386,519,658,330,719,433,617,603,431,398,515,495,415,488,397,251,621,292
2023-07-19,569,548,517,602,500,547,632,400,400,519,429,432,749,404,575,562,433,542,447,286
2023-07-20,467,550,341,665,462,429,509,489,450,302,515,455,473,513,446,552,360,567,524,394
2023-07-21,423,707,435,505,501,554,498,436,563,489,571,453,599,686,413,410,411,447,429,354
2023-07-22,537,353,521,534,528,575,670,561,673,453,409,348,670,559,407,585,389,424,443,393
2023-07-23,754,463,452,788,565,661,661,535,536,461,613,300,429,371,469,420,472,518,383,409
2023-07-24,338,406,487,481,300,455,760,571,554,614,668,355,572,464,420,422,438,399,603,330
2023-07-25,428,578,755,527,484,721,615,527,524,494,432,245,851,446,593,384,471,430,599,301
2023-07-26,737,495,435,853,604,603,571,272,467,645,559,304,641,747,501,690,440,457,671,496
2023-07-27,617,439,471,766,528,593,355,486,526,697,498,260,765,296,508,437,408,423,512,524
2023-07-28,566,611,570,572,452,720,590,638,734,616,522,347,883,595,510,399,459,358,553,439
2023-07-29,420,422,331,486,446,573,569,499,492,672,518,269,564,443,586,354,269,399,513,456
2023-07-30,702,645,384,593,487,469,642,447,417,432,452,274,673,467,720,562,328,507,536,517
2023-07-31,433,573,347,767,480,458,437,364,316,436,367,270,495,531,409,379,405,322,551,395
2023-08-01,672,364,586,593,475,508,662,476,482,546,703,570,490,496,775,704,560,455,423,370
2023-08-02,607,580,645,577,395,369,799,468,566,633,461,437,633,487,451,694,614,498,484,426
2023-08-03,570,478,263,939,747,519,425,381,538,734,514,364,647,447,561,562,476,514,428,339
2023-08-04,328,499,537,609,526,640,443,458,436,509,417,404,650,486,636,627,362,429,345,452
2023-08-05,543,439,444,615,595,475,566,573,577,628,580,289,503,584,502,667,342,518,441,458
2023-08-06,387,459,607,719,720,440,791,374,640,449,390,420,626,434,442,580,423,473,409,437
2023-08-07,463,542,641,484,521,573,303,365,531,425,327,441,595,495,423,422,318,533,359,403
2023-08-08,671,430,449,894,545,539,789,561,695,500,584,649,638,751,516,557,364,380,311,341
2023-08-09,393,757,540,617,439,524,520,581,524,772,557,495,675,464,377,495,320,426,361,619
2023-08-10,473,531,598,423,507,615,1163,742,458,637,608,492,1067,488,780,497,304,476,641,356
2023-08-11,629,566,564,612,669,523,696,451,484,617,632,377,435,663,379,465,534,533,481,460
2023-08-12,811,628,456,454,562,728,512,444,454,445,539,393,549,448,444,346,520,384,307,385
2023-08-13,510,782,530,511,383,510,381,488,548,530,410,401,692,679,706,400,608,342,238,354
